"Year","Week","numcases","shortyear","Year_Week"
"2017",36,1,17,"17-36"
"2017",37,0,17,"17-37"
"2017",38,1,17,"17-38"
"2017",39,0,17,"17-39"
"2017",40,0,17,"17-40"
"2017",41,0,17,"17-41"
"2017",42,1,17,"17-42"
"2017",43,0,17,"17-43"
"2017",44,5,17,"17-44"
"2017",45,4,17,"17-45"
"2017",46,3,17,"17-46"
"2017",47,3,17,"17-47"
"2017",48,5,17,"17-48"
"2017",49,5,17,"17-49"
"2017",50,3,17,"17-50"
"2017",51,5,17,"17-51"
"2017",52,4,17,"17-52"
"2018",1,3,18,"18-1"
"2018",2,6,18,"18-2"
"2018",3,3,18,"18-3"
"2018",4,6,18,"18-4"
"2018",5,8,18,"18-5"
"2018",6,6,18,"18-6"
"2018",7,6,18,"18-7"
"2018",8,14,18,"18-8"
"2018",9,12,18,"18-9"
"2018",10,7,18,"18-10"
"2018",11,12,18,"18-11"
"2018",12,9,18,"18-12"
"2018",13,17,18,"18-13"
"2018",14,13,18,"18-14"
"2018",15,21,18,"18-15"
"2018",16,20,18,"18-16"
"2018",17,22,18,"18-17"
"2018",18,17,18,"18-18"
"2018",19,19,18,"18-19"
"2018",20,18,18,"18-20"
"2018",21,11,18,"18-21"
"2018",22,17,18,"18-22"
"2018",23,11,18,"18-23"
"2018",24,6,18,"18-24"
"2018",25,5,18,"18-25"
"2018",26,10,18,"18-26"
"2018",27,4,18,"18-27"
"2018",28,5,18,"18-28"
"2018",29,4,18,"18-29"
"2018",30,2,18,"18-30"
"2018",31,4,18,"18-31"
"2018",32,2,18,"18-32"
"2018",33,2,18,"18-33"
"2018",34,1,18,"18-34"
"2018",35,3,18,"18-35"
"2018",36,1,18,"18-36"
"2018",37,3,18,"18-37"
"2018",38,2,18,"18-38"
"2018",39,2,18,"18-39"
"2018",40,0,18,"18-40"
"2018",41,2,18,"18-41"
"2018",42,0,18,"18-42"
"2018",43,2,18,"18-43"
"2018",44,1,18,"18-44"
"2018",45,0,18,"18-45"
"2018",46,1,18,"18-46"
"2018",47,0,18,"18-47"
"2018",48,1,18,"18-48"
"2018",49,0,18,"18-49"
"2018",50,2,18,"18-50"
"2018",51,0,18,"18-51"
"2018",52,2,18,"18-52"
